State,AZ,,,,GA,,,,,MI,,,,,NV,,,,,NC,,,,,PA,,,,,WI,,,,
Label (Grouping),Total,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen,Total,Native,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen,Total,Native,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen,Total,Native,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen,Total,Native,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen,Total,Native,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen,Total,Native,Foreign-born,Foreign-born; Naturalized citizen,Foreign-born; Not a U.S. citizen
Total population,"7,431,344","980,927","474,767","506,160","11,029,227","9,754,765","1,274,462","625,449","649,013","10,037,261","9,299,709","737,552","417,635","319,917","3,194,176","2,579,397","614,779","329,511","285,268","10,835,491","9,840,364","995,127","433,357","561,770","12,961,683","11,930,363","1,031,320","567,837","463,483","5,910,955","5,603,056","307,899","146,096","161,803"
SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,"3,708,241","467,902","215,069","253,080","5,382,263","4,750,571","632,133","293,961","337,487","4,968,444","4,603,356","366,563","201,300","165,397","1,606,671","1,312,913","295,094","150,257","144,631","5,309,391","4,811,938","501,544","208,011","293,244","6,390,110","5,881,669","502,253","267,451","234,986","2,961,388","2,801,528","157,028","70,857","86,241"
Female,"3,723,103","513,025","259,698","253,080","5,646,964","5,004,194","642,329","331,488","311,526","5,068,817","4,696,353","370,989","216,335","154,520","1,587,505","1,266,484","319,685","179,254","140,637","5,526,100","5,028,426","493,583","225,346","268,526","6,571,573","6,048,694","529,067","300,386","228,497","2,949,567","2,801,528","150,871","75,239","75,562"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 to 24 years,"698,546","56,894","14,718","42,517","1,047,777","965,722","77,742","24,393","52,570","923,428","864,873","56,054","21,717","34,231","255,534","229,566","27,665","8,897","18,542","1,029,372","964,356","63,688","19,501","44,380","1,166,551","1,085,663","76,318","28,392","48,202","549,719","526,687","25,248","10,373","14,724"
25 to 44 years,"1,969,306","329,591","123,914","206,007","2,999,950","2,506,975","498,315","192,638","305,685","2,539,427","2,287,728","255,193","120,279","135,005","900,758","699,017","202,877","83,037","119,813","2,849,734","2,450,251","396,061","129,574","266,279","3,305,229","2,922,939","387,776","171,487","216,447","1,495,472","1,367,146","124,699","42,660","82,034"
45 to 54 years,"862,036","204,033","98,277","105,787","1,411,741","1,141,308","263,814","140,726","123,312","1,194,434","1,060,167","131,284","76,845","54,706","402,466","265,678","134,637","68,538","65,897","1,354,436","1,141,482","206,986","98,372","108,983","1,529,479","1,348,131","180,481","113,567","66,278","685,671","633,145","57,885","31,265","26,697"
55 to 64 years,"876,899","155,967","96,378","59,221","1,334,536","1,151,062","183,523","127,592","55,815","1,334,956","1,227,562","107,683","77,262","30,392","396,078","286,313","108,816","71,174","37,370","1,365,272","1,239,886","130,362","84,071","47,189","1,736,866","1,598,669","144,385","102,778","41,713","803,890","762,016","40,643","24,836","15,857"
65 to 74 years,"810,016","112,807","75,013","37,962","1,025,718","936,457","99,408","71,927","27,259","1,164,322","1,088,066","74,493","57,216","17,276","332,194","263,098","68,855","52,722","16,260","1,137,727","1,072,600","71,649","52,436","19,100","1,516,517","1,419,713","91,787","69,844","22,247","685,671","661,161","23,708","18,116","5,501"
75 to 84 years,"490,469","55,913","42,729","13,160","518,374","477,983","45,881","35,025","10,384","572,124","539,383","39,090","32,158","7,038","178,874","141,867","36,887","30,974","6,276","595,952","560,901","34,829","27,735","7,303","790,663","739,683","53,629","43,723","9,270","331,013","319,374","10,469","8,035","2,427"
85 years and over,"141,196","15,695","13,768","2,531","143,380","136,567","12,745","10,007","2,596","190,708","176,694","16,226","13,782","2,239","44,718","33,532","11,066","9,226","2,282","173,368","167,286","9,951","7,367","2,247","298,119","274,398","18,564","15,332","2,781","118,219","112,061","5,234","4,237",971
Median age (years),"292,051,819",,,,,,,,"25,376,408","406,509,071","371,058,389",,,,,,,"18,090,154",,,,,,,,,,,,,,,,
