YEAR,STATE,ELECTORAL VOTE,,POPULAR VOTE,,,
,,DEMOCRAT,REPUBLICAN,DEMOCRAT,REPUBLICAN,OTHER,TOTAL
2020,AZ,11,,"1,672,143","1,661,686","53,497","3,387,326"
,GA,16,,"2,473,633","2,461,854","64,473","4,999,960"
,MI,16,,"2,804,040","2,649,852","85,410","5,539,302"
,NV,6,,"703,486","669,890","32,000","1,405,376"
,NC,,15,"2,684,292","2,758,775","81,737","5,524,804"
,PA,20,,"3,458,229","3,377,674","101,073","6,936,976"
,WI,10,,"1,630,866","1,610,184","56,991","3,298,041"
2016,AZ,,11,"1,161,167","1,252,401","159,597","2,573,165"
,GA,,16,"1,877,963","2,089,104","147,665","4,114,732"
,MI,,16,"2,268,839","2,279,543","250,902","4,799,284"
,NV,6,,"539,260","512,058","74,067","1,125,385"
,NC,,15,"2,189,316","2,362,631","189,617","4,741,564"
,PA,,20,"2,926,441","2,970,733","268,304","6,165,478"
,WI,,10,"1,382,536","1,405,284","188,330","2,976,150"
2012,AZ,,11,"1,025,232","1,233,654","40,368","2,299,254"
,GA,,16,"1,773,827","2,078,688","47,535","3,900,050"
,MI,16,,"2,564,569","2,115,256","51,136","4,730,961"
,NV,6,,"531,373","463,567","19,978","1,014,918"
,NC,,15,"2,178,391","2,270,395","56,586","4,505,372"
,PA,20,,"2,990,274","2,680,434","82,962","5,753,670"
,WI,10,,"1,620,985","1,407,966","39,483","3,068,434"
2008,AZ,,10,"1,034,707","1,230,111","28,657","2,293,475"
,GA,,15,"1,844,123","2,048,759","31,604","3,924,486"
,MI,17,,"2,872,579","2,048,639","80,548","5,001,766"
,NV,5,,"533,736","412,827","21,285","967,848"
,NC,15,,"2,142,651","2,128,474","39,664","4,310,789"
,PA,21,,"3,276,363","2,655,885","81,024","6,013,272"
,WI,10,,"1,677,211","1,262,393","43,813","2,983,417"
2004,AZ,,10,"893,524","1,104,294","14,767","2,012,585"
,GA,,15,"1,366,149","1,914,254","21,472","3,301,875"
,MI,17,,"2,479,183","2,313,746","46,323","4,839,252"
,NV,,5,"397,190","418,690","13,707","829,587"
,NC,,15,"1,525,849","1,961,166","13,992","3,501,007"
,PA,21,,"2,938,095","2,793,847","37,648","5,769,590"
,WI,10,,"1,489,504","1,478,120","29,383","2,997,007"
2000,AZ,,8,"685,341","781,652","65,023","1,532,016"
,GA,,13,"1,116,230","1,419,720","60,854","2,596,804"
,MI,18,,"2,170,418","1,953,139","108,944","4,232,501"
,NV,,4,"279,978","301,575","27,417","608,970"
,NC,,14,"1,257,692","1,631,163","22,407","2,911,262"
,PA,23,,"2,485,967","2,281,127","146,025","4,913,119"
,WI,11,,"1,242,987","1,237,279","118,341","2,598,607"
