STATE,"Sex, Race and Hispanic-Origin",Total Citizen Population (Number in thousand),Total registered (Number in thousand),Total voted (Number in thousand)
ARIZONA,Total,"4,169","2,874","2,497"
,Male,"2,067","1,382","1,191"
,Female,"2,102","1,492","1,306"
,White alone,"3,678","2,539","2,226"
,.White non-Hispanic alone,"2,916","2,150","1,952"
,Black alone,182,121,95
,Asian alone,80,52,48
,Hispanic (of any race),796,410,291
,White alone or in combination,"3,740","2,580","2,264"
,Black alone or in combination,198,131,106
,Asian alone or in combination,88,57,52
GEORGIA,Total,"6,515","4,624","4,183"
,Male,"3,038","2,105","1,883"
,Female,"3,477","2,519","2,300"
,White alone,"4,387","3,111","2,789"
,.White non-Hispanic alone,"4,183","2,983","2,683"
,Black alone,"1,928","1,414","1,309"
,Asian alone,155,60,53
,Hispanic (of any race),234,150,128
,White alone or in combination,"4,413","3,134","2,809"
,Black alone or in combination,"1,959","1,442","1,334"
,Asian alone or in combination,155,60,53
MICHIGAN,Total,"7,176","5,531","4,865"
,Male,"3,474","2,590","2,249"
,Female,"3,702","2,940","2,616"
,White alone,"6,021","4,642","4,065"
,.White non-Hispanic alone,"5,874","4,557","3,995"
,Black alone,956,738,679
,Asian alone,91,74,53
,Hispanic (of any race),147,85,70
,White alone or in combination,"6,079","4,680","4,099"
,Black alone or in combination,980,756,694
,Asian alone or in combination,102,84,64
NEVADA,Total,"1,714","1,147","1,027"
,Male,863,581,519
,Female,851,567,509
,White alone,"1,396",942,850
,.White non-Hispanic alone,"1,194",830,746
,Black alone,137,114,105
,Asian alone,117,45,35
,Hispanic (of any race),228,131,119
,White alone or in combination,"1,424",958,863
,Black alone or in combination,146,120,110
,Asian alone or in combination,121,48,35
NORTH CAROLINA,Total,"6,477","4,902","4,370"
,Male,"3,052","2,231","2,006"
,Female,"3,425","2,671","2,364"
,White alone,"4,886","3,782","3,331"
,.White non-Hispanic alone,"4,791","3,715","3,270"
,Black alone,"1,345",971,919
,Asian alone,80,53,43
,Hispanic (of any race),118,83,77
,White alone or in combination,"4,922","3,815","3,358"
,Black alone or in combination,"1,351",974,919
,Asian alone or in combination,92,61,50
PENNSYLVANIA,Total,"9,206","6,451","5,747"
,Male,"4,384","3,014","2,664"
,Female,"4,821","3,436","3,083"
,White alone,"8,181","5,783","5,126"
,.White non-Hispanic alone,"7,901","5,619","4,981"
,Black alone,837,557,535
,Asian alone,104,41,31
,Hispanic (of any race),319,189,161
,White alone or in combination,"8,236","5,829","5,165"
,Black alone or in combination,865,584,561
,Asian alone or in combination,114,47,35
WISCONSIN,Total,"4,053","3,095","2,887"
,Male,"1,993","1,501","1,403"
,Female,"2,060","1,594","1,484"
,White alone,"3,764","2,881","2,682"
,.White non-Hispanic alone,"3,620","2,806","2,617"
,Black alone,199,145,145
,Asian alone,37,31,31
,Hispanic (of any race),150,77,66
,White alone or in combination,"3,786","2,892","2,692"
,Black alone or in combination,213,150,150
,Asian alone or in combination,39,33,33
